Feature,Importance,model
feature_37,0.003920042529482,Video Injection_feature_importance_0.25_30
feature_57,0.0035726076079646,Video Injection_feature_importance_0.25_30
feature_113,0.0034050799520672,Video Injection_feature_importance_0.25_30
feature_27,0.0032188616425737,Video Injection_feature_importance_0.25_30
feature_31,0.003097449318219,Video Injection_feature_importance_0.25_30
feature_105,0.0024402495241058,Video Injection_feature_importance_0.25_30
feature_16,0.0022327279207983,Video Injection_feature_importance_0.25_30
feature_58,0.001678365497879,Video Injection_feature_importance_0.25_30
feature_66,0.0016139409597976,Video Injection_feature_importance_0.25_30
feature_26,0.001465073999756,Video Injection_feature_importance_0.25_30
feature_53,0.0013582070544867,Video Injection_feature_importance_0.25_30
feature_56,0.0012647938687051,Video Injection_feature_importance_0.25_30
feature_11,0.0012517087621545,Video Injection_feature_importance_0.25_30
feature_43,0.0006386609556343,Video Injection_feature_importance_0.25_30
feature_44,0.0005400985676249,Video Injection_feature_importance_0.25_30
feature_50,0.0005194247422524,Video Injection_feature_importance_0.25_30
feature_103,0.0004970112052961,Video Injection_feature_importance_0.25_30
feature_91,0.0004650466180084,Video Injection_feature_importance_0.25_30
feature_81,0.0004599837820944,Video Injection_feature_importance_0.25_30
feature_51,0.0004428069102199,Video Injection_feature_importance_0.25_30
feature_47,0.0003923926943207,Video Injection_feature_importance_0.25_30
feature_48,0.0003781515866222,Video Injection_feature_importance_0.25_30
feature_9,0.0003586598667582,Video Injection_feature_importance_0.25_30
feature_67,0.0003516502868491,Video Injection_feature_importance_0.25_30
feature_82,0.0003342171020275,Video Injection_feature_importance_0.25_30
feature_97,0.0002991202228236,Video Injection_feature_importance_0.25_30
feature_99,0.0002936681210949,Video Injection_feature_importance_0.25_30
feature_24,0.0002738547008284,Video Injection_feature_importance_0.25_30
feature_85,0.0002676087455128,Video Injection_feature_importance_0.25_30
feature_35,0.0002320733999999,Video Injection_feature_importance_0.25_30
feature_23,0.0002000420369862,Video Injection_feature_importance_0.25_30
feature_8,0.0001882042526964,Video Injection_feature_importance_0.25_30
feature_1,0.0001844767006683,Video Injection_feature_importance_0.25_30
feature_83,0.0001677059957712,Video Injection_feature_importance_0.25_30
feature_3,0.0001610143483176,Video Injection_feature_importance_0.25_30
feature_74,0.0001395579481372,Video Injection_feature_importance_0.25_30
feature_84,0.0001231934395641,Video Injection_feature_importance_0.25_30
feature_49,0.0001149220300831,Video Injection_feature_importance_0.25_30
feature_17,8.401179495084374e-05,Video Injection_feature_importance_0.25_30
feature_39,8.142143791659966e-05,Video Injection_feature_importance_0.25_30
feature_20,7.972168835311938e-05,Video Injection_feature_importance_0.25_30
feature_5,7.651863856089775e-05,Video Injection_feature_importance_0.25_30
feature_73,7.147698626416568e-05,Video Injection_feature_importance_0.25_30
feature_21,6.862810431147293e-05,Video Injection_feature_importance_0.25_30
feature_46,6.692137285135699e-05,Video Injection_feature_importance_0.25_30
feature_41,5.977080493879945e-05,Video Injection_feature_importance_0.25_30
feature_96,4.927006858738441e-05,Video Injection_feature_importance_0.25_30
feature_6,4.645317819249344e-05,Video Injection_feature_importance_0.25_30
feature_34,4.497354876018636e-05,Video Injection_feature_importance_0.25_30
feature_42,4.1185963503369e-05,Video Injection_feature_importance_0.25_30
feature_18,3.696840754730673e-05,Video Injection_feature_importance_0.25_30
